station1,station2,line,time
63,203,13,120
63,219,13,120
64,106,13,120
64,135,13,120
65,97,13,120
69,86,13,120
69,106,13,120
86,152,13,120
120,238,13,120
135,171,13,120
155,225,13,120
155,284,13,120
201,284,13,120
201,292,13,120
203,217,13,120
204,247,13,120
225,262,13,120
284,292,13,120
41,216,5,60
41,253,5,120
174,253,5,240
175,253,5,240
216,276,5,60
225,276,5,60
225,295,5,120
228,295,5,120
3,156,6,240
3,295,6,120
11,83,6,180
11,104,6,180
14,92,6,60
14,167,6,120
15,78,6,240
33,36,6,120
33,164,6,60
36,289,6,120
78,270,6,120
83,193,6,240
90,104,6,120
90,145,6,120
92,145,6,240
101,110,6,120
101,227,6,60
147,150,6,60
147,283,6,120
150,227,6,120
156,167,6,120
164,244,6,120
193,218,6,60
200,270,6,120
200,289,6,120
218,283,6,120
244,295,6,180
11,28,7,120
11,249,7,240
23,41,7,120
23,157,7,180
28,107,7,120
41,42,7,180
42,183,7,180
43,183,7,180
43,289,7,180
45,207,7,120
45,243,7,120
71,172,7,120
71,297,7,120
94,254,7,120
94,290,7,60
107,285,7,180
142,290,7,120
142,297,7,120
144,207,7,120
144,282,7,240
157,233,7,120
172,282,7,240
233,279,7,60
247,289,7,180
249,254,7,60
279,285,7,120
2,156,8,120
6,46,8,240
11,94,8,360
11,104,8,180
14,92,8,60
14,167,8,120
46,50,8,480
46,53,8,240
53,214,8,240
62,168,8,240
62,280,8,180
75,210,8,120
75,222,8,120
90,104,8,120
90,145,8,120
92,145,8,240
94,282,8,420
115,178,8,120
115,184,8,180
115,291,8,120
125,134,8,120
125,271,8,180
134,220,8,180
156,167,8,120
168,179,8,180
168,214,8,240
178,202,8,120
179,180,8,120
180,199,8,120
184,199,8,180
202,282,8,180
210,291,8,180
220,222,8,120
7,145,9,120
7,188,9,180
8,124,9,180
8,264,9,120
12,56,9,120
12,257,9,60
13,157,9,120
13,167,9,180
22,47,9,120
22,111,9,120
29,84,9,60
29,157,9,120
34,100,9,180
34,119,9,120
38,58,9,120
38,81,9,180
40,47,9,120
40,89,9,180
40,139,9,120
40,170,9,60
49,87,9,60
49,151,9,120
54,55,9,120
54,56,9,120
55,245,9,60
58,119,9,180
59,240,9,120
59,258,9,120
77,93,9,240
77,124,9,120
84,136,9,120
87,279,9,120
89,145,9,120
89,170,9,120
89,277,9,60
93,165,9,180
93,288,9,120
100,111,9,240
102,259,9,60
102,277,9,120
121,261,9,180
136,191,9,120
136,279,9,180
139,264,9,120
151,259,9,60
167,188,9,60
169,240,9,240
191,245,9,180
257,258,9,120
261,302,9,180
288,302,9,60
1,73,10,120
1,234,10,240
1,265,10,180
5,194,10,180
5,252,10,120
9,31,10,180
9,232,10,180
10,95,10,120
10,128,10,60
17,74,10,180
17,110,10,120
30,176,10,120
30,190,10,180
31,303,10,120
39,128,10,120
39,145,10,300
57,187,10,240
60,126,10,60
60,151,10,60
73,182,10,180
74,99,10,120
75,210,10,120
75,222,10,120
95,160,10,120
99,236,10,60
107,133,10,120
107,197,10,60
110,265,10,120
116,117,10,180
116,118,10,180
116,132,10,240
117,118,10,300
125,134,10,120
125,271,10,180
126,223,10,120
130,131,10,120
130,132,10,120
131,190,10,120
133,146,10,120
134,220,10,180
145,223,10,120
146,236,10,180
151,197,10,120
160,266,10,180
176,234,10,60
182,194,10,120
187,232,10,180
210,235,10,180
220,222,10,120
235,251,10,120
251,252,10,180
266,303,10,120
26,260,11,120
26,274,11,120
35,245,11,120
89,145,11,120
89,277,11,60
95,123,11,120
95,224,11,240
107,192,11,120
107,273,11,120
123,145,11,240
192,277,11,120
198,272,11,60
198,273,11,180
224,260,11,180
245,272,11,180
13,279,12,240
163,11,1,60
212,11,1,120
87,49,1,60
197,49,1,120
163,82,1,120
193,82,1,180
148,84,1,180
279,87,1,120
246,113,1,120
298,113,1,120
140,114,1,120
206,137,1,180
298,137,1,180
237,140,1,120
159,143,1,120
206,143,1,120
279,148,1,60
278,159,1,60
237,185,1,120
281,185,1,120
197,192,1,120
212,192,1,120
278,193,1,120
281,246,1,180
156,13,2,120
250,13,2,120
91,16,2,120
173,16,2,120
156,24,2,180
164,24,2,120
162,28,2,60
192,28,2,60
158,37,2,180
301,37,2,180
126,48,2,60
250,48,2,120
103,51,2,120
215,51,2,120
158,68,2,120
256,68,2,180
286,72,2,180
181,76,2,120
296,76,2,180
256,88,2,120
109,91,2,120
173,98,2,180
211,98,2,120
109,103,2,180
177,105,2,120
196,105,2,120
181,112,2,180
196,112,2,120
259,126,2,120
186,127,2,120
226,127,2,60
162,149,2,180
208,149,2,60
154,153,2,180
247,153,2,120
230,154,2,120
275,154,2,120
247,164,2,240
239,177,2,180
286,181,2,120
208,186,2,120
259,192,2,120
275,211,2,120
301,215,2,180
239,221,2,60
294,221,2,180
296,226,2,180
241,230,2,120
301,241,2,120
156,2,3,120
263,2,3,240
83,11,3,180
104,11,3,180
92,14,3,60
167,14,3,120
186,18,3,120
193,18,3,120
161,25,3,60
255,25,3,120
161,44,3,60
166,44,3,120
193,83,3,180
255,87,3,120
285,87,3,120
104,90,3,120
145,90,3,120
145,92,3,240
122,99,3,240
236,99,3,60
186,122,3,180
167,156,3,120
263,166,3,120
236,229,3,120
273,229,3,120
273,248,3,120
285,248,3,120
263,3,4,120
295,3,4,120
78,15,4,240
269,15,4,120
110,17,4,60
293,17,4,120
186,18,4,120
193,18,4,120
67,21,4,180
269,21,4,120
161,25,4,60
255,25,4,120
36,33,4,120
164,33,4,60
289,36,4,120
161,44,4,60
166,44,4,120
1,52,4,120
265,52,4,120
67,66,4,240
85,66,4,180
73,72,4,240
1,73,4,120
99,74,4,180
122,74,4,180
138,74,4,120
287,74,4,120
293,74,4,60
270,78,4,120
205,80,4,120
231,80,4,120
193,83,4,180
129,85,4,120
255,87,4,120
285,87,4,120
195,96,4,120
287,96,4,60
236,99,4,60
141,108,4,180
265,108,4,180
209,110,4,120
186,122,4,180
268,129,4,120
213,141,4,180
244,164,4,120
263,166,4,120
205,195,4,180
270,200,4,120
289,200,4,120
242,209,4,120
236,229,4,120
273,229,4,120
300,231,4,180
265,242,4,60
295,244,4,180
273,248,4,120
285,248,4,120
268,267,4,180
300,299,4,180
70,4,13,120
201,4,13,120
225,13,13,120
97,19,13,120
65,20,13,120
217,20,13,120
79,27,13,120
201,27,13,120
70,32,13,120
204,32,13,120
120,42,13,120
292,42,13,120
79,43,13,120
219,43,13,120
171,61,13,120
238,61,13,120
203,63,13,120
219,63,13,120
106,64,13,120
135,64,13,120
97,65,13,120
86,69,13,120
106,69,13,120
152,86,13,120
238,120,13,120
171,135,13,120
225,155,13,120
284,155,13,120
284,201,13,120
292,201,13,120
217,203,13,120
247,204,13,120
262,225,13,120
292,284,13,120
216,41,5,60
253,41,5,120
253,174,5,240
253,175,5,240
276,216,5,60
276,225,5,60
295,225,5,120
295,228,5,120
156,3,6,240
295,3,6,120
83,11,6,180
104,11,6,180
92,14,6,60
167,14,6,120
78,15,6,240
36,33,6,120
164,33,6,60
289,36,6,120
270,78,6,120
193,83,6,240
104,90,6,120
145,90,6,120
145,92,6,240
110,101,6,120
227,101,6,60
150,147,6,60
283,147,6,120
227,150,6,120
167,156,6,120
244,164,6,120
218,193,6,60
270,200,6,120
289,200,6,120
283,218,6,120
295,244,6,180
28,11,7,120
249,11,7,240
41,23,7,120
157,23,7,180
107,28,7,120
42,41,7,180
183,42,7,180
183,43,7,180
289,43,7,180
207,45,7,120
243,45,7,120
172,71,7,120
297,71,7,120
254,94,7,120
290,94,7,60
285,107,7,180
290,142,7,120
297,142,7,120
207,144,7,120
282,144,7,240
233,157,7,120
282,172,7,240
279,233,7,60
289,247,7,180
254,249,7,60
285,279,7,120
156,2,8,120
46,6,8,240
94,11,8,360
104,11,8,180
92,14,8,60
167,14,8,120
50,46,8,480
53,46,8,240
214,53,8,240
168,62,8,240
280,62,8,180
210,75,8,120
222,75,8,120
104,90,8,120
145,90,8,120
145,92,8,240
282,94,8,420
178,115,8,120
184,115,8,180
291,115,8,120
134,125,8,120
271,125,8,180
220,134,8,180
167,156,8,120
179,168,8,180
214,168,8,240
202,178,8,120
180,179,8,120
199,180,8,120
199,184,8,180
282,202,8,180
291,210,8,180
222,220,8,120
145,7,9,120
188,7,9,180
124,8,9,180
264,8,9,120
56,12,9,120
257,12,9,60
157,13,9,120
167,13,9,180
47,22,9,120
111,22,9,120
84,29,9,60
157,29,9,120
100,34,9,180
119,34,9,120
58,38,9,120
81,38,9,180
47,40,9,120
89,40,9,180
139,40,9,120
170,40,9,60
87,49,9,60
151,49,9,120
55,54,9,120
56,54,9,120
245,55,9,60
119,58,9,180
240,59,9,120
258,59,9,120
93,77,9,240
124,77,9,120
136,84,9,120
279,87,9,120
145,89,9,120
170,89,9,120
277,89,9,60
165,93,9,180
288,93,9,120
111,100,9,240
259,102,9,60
277,102,9,120
261,121,9,180
191,136,9,120
279,136,9,180
264,139,9,120
259,151,9,60
188,167,9,60
240,169,9,240
245,191,9,180
258,257,9,120
302,261,9,180
302,288,9,60
73,1,10,120
234,1,10,240
265,1,10,180
194,5,10,180
252,5,10,120
31,9,10,180
232,9,10,180
95,10,10,120
128,10,10,60
74,17,10,180
110,17,10,120
176,30,10,120
190,30,10,180
303,31,10,120
128,39,10,120
145,39,10,300
187,57,10,240
126,60,10,60
151,60,10,60
182,73,10,180
99,74,10,120
210,75,10,120
222,75,10,120
160,95,10,120
236,99,10,60
133,107,10,120
197,107,10,60
265,110,10,120
117,116,10,180
118,116,10,180
132,116,10,240
118,117,10,300
134,125,10,120
271,125,10,180
223,126,10,120
131,130,10,120
132,130,10,120
190,131,10,120
146,133,10,120
220,134,10,180
223,145,10,120
236,146,10,180
197,151,10,120
266,160,10,180
234,176,10,60
194,182,10,120
232,187,10,180
235,210,10,180
222,220,10,120
251,235,10,120
252,251,10,180
303,266,10,120
260,26,11,120
274,26,11,120
245,35,11,120
145,89,11,120
277,89,11,60
123,95,11,120
224,95,11,240
192,107,11,120
273,107,11,120
145,123,11,240
277,192,11,120
272,198,11,60
273,198,11,180
260,224,11,180
272,245,11,180
279,13,12,240
